train_base_euler_roll,train_base_euler_pitch,train_base_euler_yaw,train_dof_pos_0,train_target_dof_pos_0,train_dof_pos_1,train_target_dof_pos_1,train_dof_pos_2,train_target_dof_pos_2,train_dof_pos_3,train_target_dof_pos_3,train_dof_pos_4,train_target_dof_pos_4,train_dof_pos_5,train_target_dof_pos_5,train_dof_pos_6,train_target_dof_pos_6,train_dof_pos_7,train_target_dof_pos_7,train_dof_pos_8,train_target_dof_pos_8,train_dof_pos_9,train_target_dof_pos_9,train_dof_pos_10,train_target_dof_pos_10,train_dof_pos_11,train_target_dof_pos_11
0.020990541204810143,0.07472404092550278,-0.05112314224243164,-0.020929353311657906,0.022358905524015427,0.07070697098970413,0.028493506833910942,-0.010674533434212208,-0.013163632713258266,-0.014885311014950275,0.034380048513412476,-0.013474931940436363,0.06355427950620651,-0.00041243538726121187,0.007542336825281382,0.007617058232426643,-0.016818054020404816,-0.006902921013534069,0.008329404518008232,-0.006053564604371786,0.011234406381845474,-0.00013145882985554636,0.00109409901779145,-0.05567830801010132,0.01659034937620163,-0.013132117688655853,0.012030062265694141
0.03702900558710098,0.08552055060863495,-0.062238216400146484,-0.035032253712415695,-0.048670798540115356,0.052012961357831955,-0.009989308193325996,-0.009062601253390312,-0.03614206612110138,-0.02711000107228756,-0.009894772432744503,0.015442552044987679,0.1636974960565567,-0.04316387698054314,-0.03925450146198273,-0.01399311888962984,0.024259597063064575,-0.02635038271546364,-0.024324951693415642,0.010639872401952744,0.027543246746063232,-0.004505384247750044,0.05956050008535385,-0.06296449154615402,0.05566268786787987,-0.009862278588116169,-0.04348692297935486
0.03184492141008377,0.059372927993535995,-0.07751607894897461,-0.026570092886686325,0.044110409915447235,0.05436614155769348,-0.005819353740662336,-0.010271212086081505,-0.04888058081269264,-0.011012319475412369,0.04435773566365242,0.021879838779568672,0.02570776641368866,-0.04027484729886055,0.003164358902722597,-0.0013608704321086407,-0.025900140404701233,-0.022574972361326218,0.045593880116939545,0.025081558153033257,0.0536382794380188,-0.01393208373337984,-0.040737710893154144,-0.04077744856476784,0.0775505006313324,-0.005518291611224413,0.027565866708755493
0.01274782419204712,0.02264874242246151,-0.08975458145141602,-0.0026719619054347277,0.011300614103674889,0.06389134377241135,0.031430475413799286,-0.01660219207406044,0.005048430059105158,-0.0034199778456240892,-0.009111705236136913,-0.012077933177351952,-0.055260058492422104,0.00392276281490922,0.03883450850844383,0.022360794246196747,0.031581513583660126,-0.009157923981547356,-0.0334196612238884,-0.00014832624583505094,-0.10310140997171402,-0.027590468525886536,-0.04854290932416916,-0.017444966360926628,0.007313464768230915,-0.0040451278910040855,-0.06524942070245743
-0.0020842552185058594,-0.007493019104003906,-0.09371042251586914,-0.004942059051245451,-0.006228521466255188,0.07204343378543854,0.02688123658299446,-0.018747195601463318,0.028595509007573128,0.03871563449501991,0.037439316511154175,-0.037976350635290146,-0.13956375420093536,0.010916508734226227,0.04381903260946274,0.02960006520152092,0.01281965896487236,0.0025150326546281576,-0.04633955657482147,-0.005385654978454113,-0.06805365532636642,-0.014305884018540382,-0.02354874461889267,-0.007859715260565281,0.032230790704488754,-0.0034176965709775686,-0.06260130554437637
0.006588133051991463,-0.028223037719726562,-0.09673023223876953,-0.005275165196508169,-0.035766471177339554,0.05493095517158508,-0.04471887648105621,-0.010138544254004955,0.0447818860411644,0.0766587182879448,0.04464360699057579,-0.09739823639392853,-0.19031012058258057,0.024021675810217857,0.057792890816926956,0.02198873646557331,0.012983649969100952,-0.01578664407134056,-0.06393346935510635,-0.0008566419710405171,-0.04811946302652359,0.01704384945333004,-0.003347390331327915,-0.010832802392542362,-0.04198572412133217,0.008278081193566322,-0.0280059315264225
0.029817674309015274,-0.031934261322021484,-0.11246204376220703,0.002783760894089937,0.033021554350852966,0.02244529500603676,-0.039029404520988464,0.014952098950743675,0.0072977240197360516,0.07719582319259644,0.05817094072699547,-0.14063069224357605,-0.19435381889343262,0.04466565325856209,0.0754270851612091,-0.007045092061161995,-0.06956620514392853,-0.04710417240858078,-0.03302142769098282,0.025210775434970856,0.07776647061109543,0.054520465433597565,0.025771955028176308,-0.016083376482129097,-0.03712562844157219,0.022480659186840057,0.06862052530050278
0.03680768981575966,-0.028095245361328125,-0.11973142623901367,0.007487099152058363,0.0016061002388596535,0.003042062744498253,-0.0922001525759697,0.02489697001874447,0.012183645740151405,0.061566438525915146,-0.008069224655628204,-0.14783552289009094,-0.13326628506183624,0.06809654086828232,0.128457710146904,-0.012373652309179306,0.002937314100563526,-0.06340618431568146,-0.009548548609018326,0.037645373493433,0.0698046013712883,0.04225781559944153,-0.07771103084087372,-0.0029760412871837616,-0.013012249022722244,0.034641165286302567,0.009827833622694016
0.03324966877698898,-0.018123626708984375,-0.13541173934936523,0.013276778161525726,0.07010684907436371,-0.005645644385367632,-0.037599749863147736,0.01833362504839897,-0.05044936388731003,0.037012454122304916,-0.0007353043183684349,-0.12204999476671219,-0.015119479037821293,0.06244819983839989,0.012615518644452095,-0.022890359163284302,-0.07564640045166016,-0.061770930886268616,0.053174085915088654,0.05999934673309326,0.2112070769071579,0.02905377186834812,-0.025726433843374252,0.009891875088214874,0.01805204153060913,0.04302326962351799,0.02627262845635414
0.016514495015144348,-0.006661891937255859,-0.1718754768371582,0.026508402079343796,0.042786866426467896,-0.0053689018823206425,-0.050531867891550064,-0.024243101477622986,-0.07205658406019211,0.007319798693060875,-0.002053220756351948,-0.03199917450547218,0.04872167110443115,0.03164315223693848,-0.0065454537980258465,-0.05199112370610237,-0.07093830406665802,-0.03287362679839134,0.053884342312812805,0.10635580122470856,0.17494343221187592,0.03689572960138321,0.042298704385757446,0.01812823861837387,0.06217396259307861,0.0394560806453228,-0.001180785708129406
